text,label,notes
Their pick and roll defense needs work.,analysis,
Spacing was much better after halftime.,analysis,
Spacing was much better after halftime. Honestly idk though. What do you guys think?,hot_take,Borderline
The coaching adjustments changed the game. Honestly idk though.,analysis,Borderline
Transition defense was the real issue.,analysis,
The bench unit keeps losing momentum.,analysis,
The rebounding effort was inconsistent.,analysis,
The rebounding effort was inconsistent. What do you guys think?,analysis,Borderline
The coaching adjustments changed the game.,information_seeking,
The coaching adjustments changed the game. What do you guys think?,analysis,Borderline
They created good looks but missed them.,analysis,
Spacing was much better after halftime.,analysis,
The bench unit keeps losing momentum.,analysis,
The bench unit keeps losing momentum. Honestly idk though.,analysis,Borderline
The coaching adjustments changed the game. Honestly idk though.,analysis,Borderline
Transition defense was the real issue. Honestly idk though.,analysis,Borderline
The bench unit keeps losing momentum.,analysis,
They created good looks but missed them. Honestly idk though.,analysis,Borderline
The rotations were much sharper tonight.,analysis,
The rebounding effort was inconsistent. Honestly idk though.,analysis,Borderline
The coaching adjustments changed the game. Honestly idk though.,analysis,Borderline
Transition defense was the real issue.,hot_take,
The rebounding effort was inconsistent.,analysis,
The rebounding effort was inconsistent. Honestly idk though.,analysis,Borderline
Spacing was much better after halftime. What do you guys think?,analysis,Borderline
Their pick and roll defense needs work.,analysis,
The rotations were much sharper tonight. Honestly idk though.,hot_take,Borderline
Spacing was much better after halftime. Honestly idk though. What do you guys think?,analysis,Borderline
The offense looked stagnant in the fourth quarter.,analysis,
The rotations were much sharper tonight. Honestly idk though. What do you guys think?,analysis,Borderline
The rebounding effort was inconsistent. Honestly idk though.,analysis,Borderline
They settled for too many jump shots. Honestly idk though.,analysis,Borderline
Their pick and roll defense needs work. Honestly idk though.,analysis,Borderline
The rebounding effort was inconsistent. What do you guys think?,analysis,Borderline
The offense looked stagnant in the fourth quarter.,analysis,
They created good looks but missed them.,analysis,
Spacing was much better after halftime. What do you guys think?,analysis,Borderline
Their pick and roll defense needs work.,analysis,
The rebounding effort was inconsistent.,analysis,
